property,city,area,category,rating,price
مخيم  بجلسة خارجية وبيت شعر , الرياض - حي العاذرية, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,"1,800"
مخيم بجلسة خارجية و ملعب طائرة, الرياض - حي الثمامة, مساحة الوحدة 2000 م2, مخصص لل عوائل و عزاب,0,"1,800"
شاليه بركن شواء وجلسة خارجية, الرياض - حي القيروان, مساحة الوحدة 320 م2, مخصص لل عوائل فقط,8.3,900
شاليه بمسبح وألعاب مائية, الرياض - حي الرمال, مساحة الوحدة 250 م2, مخصص لل عوائل فقط,8.3,550
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل و عزاب,6.6,499
شاليه بألعاب أطفال ومسطح اخضر , الرياض - حي الرمال, مساحة الوحدة 200 م2, مخصص لل عوائل فقط,8,300
منتجع بأثاث مودرن ومسبح, الرياض - حي النرجس, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,9.4,"2,700"
شاليه بركن شواء و جلسة خارجية و ملحق خارجي, الرياض - حي نمار, مساحة الوحدة 430 م2, مخصص لل عوائل و عزاب,9,800
شاليه بجلسة مطلة على المسبح, الرياض - حي الرمال, مساحة الوحدة 250 م2, مخصص لل عوائل و عزاب,7.2,450
منتجع فندقي بجلسات خارجيه 4, الرياض - حي الجبيلة, مساحة الوحدة 370 م2, مخصص لل عوائل فقط,8.3,800
شاليه بركن شواء وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 400 م2, مخصص لل عوائل فقط,8.2,450
"شاليه بملعب كرة قدم ,جلسة عريش", الرياض - حي ديراب, مساحة الوحدة 1400 م2, مخصص لل عوائل و عزاب,8.9,850
شاليه بركن شواء , الرياض - حي عريض, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,7.1,600
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 600 م2, مخصص لل عوائل فقط,10,"2,000"
استراحة بألعاب أطفال و مسطح اخضر, الرياض - حي الخير, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,9.1,350
شاليه بركن شواء , الرياض - حي الخير, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,10,"1,360"
استراحة بجلسه خارجيه على المسطحات , ضرما - حي الورود 1, مساحة الوحدة 2300 م2, مخصص لل عوائل و عزاب,10,"1,000"
شاليه بمسطح اخضر و جلسة خارجية, المزاحمية - حي الخرارة, مساحة الوحدة 1500 م2, مخصص لل عوائل و عزاب,10,750
شاليه بجلسة مطله على مسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,8,500
شاليه بمسبح خارجي وركن شواء  , الرياض - حي الرمال, مساحة الوحدة 450 م2, مخصص لل عوائل و عزاب,7.2,500
شاليه بصاله ومسبح ألعاب مائية , الرياض - ديراب , مساحة الوحدة 460 م2, مخصص لل عوائل و عزاب,10,700
استراحة بجلسة خارجية و ملعب , الرياض - قصور أل مقبل, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,10,"1,000"
شاليه بجلسه خارجيه على المسبح , الرياض - حي الرمال, مساحة الوحدة 350 م2, مخصص لل عوائل و عزاب,10,660
شاليه بجلسه خارجيه على المسبح , الرياض - حي القادسية, مساحة الوحدة 500 م2, مخصص لل عوائل و عزاب,9.4,505
مخيم ببيت شعر ملكي وجلسة خارجية, الرياض - حي الطوقي, مساحة الوحدة 2500 م2, مخصص لل عوائل و عزاب,0,"3,500"
استراحة جلسة بإطلالة على المسبح, المزاحمية - حي المحمدية, مساحة الوحدة 330 م2, مخصص لل عوائل و عزاب,10,700
مخيم  بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 3000 م2, مخصص لل عوائل و عزاب,0,600
استراحة بجلسة خارجية ومسطح اخضر, الرياض - حي الرمال, مساحة الوحدة 2200 م2, مخصص لل عوائل و عزاب,0,"2,500"
مخيم بجلسة خارجية وبيت شعر , الرياض - حي الثمامة, مساحة الوحدة 10000 م2, مخصص لل عوائل و عزاب,0,495
شاليه بمسبح وجلسة خارجية, الرياض - حي الرمال, مساحة الوحدة 300 م2, مخصص لل عوائل و عزاب,6.6,399
